Periodo,inmob_br
2009/01,-12.95959913
2009/02,-31.19313629
2009/03,-28.93086215
2009/04,-18.14609152
2009/05,-22.97208597
2009/06,-8.518421426
2009/07,-7.385665805
2009/08,-9.05152966
2009/09,1.41993913
2009/10,-18.10121174
2009/11,-26.3997274
2009/12,-21.03153781
2010/01,-11.61648177
2010/02,2.916680124
2010/03,-13.14717316
2010/04,-20.0178203
2010/05,-23.55276021
2010/06,-19.01713311
2010/07,-11.57444637
2010/08,-14.43568539
2010/09,-23.21109694
2010/10,-18.24584182
2010/11,-5.763354594
2010/12,-16.48176505
2011/01,-7.921245734
2011/02,-25.80582942
2011/03,-29.99830081
2011/04,-13.53406507
2011/05,-18.30458465
2011/06,-16.18057994
2011/07,-25.33779505
2011/08,-26.85986012
2011/09,1.841674693
2011/10,-9.168599713
2011/11,-4.592776135
2011/12,-6.849885847
2012/01,0.556027589
2012/02,-9.235473005
2012/03,-4.578430661
2012/04,-3.566955048
2012/05,-12.47558698
2012/06,0.432935541
2012/07,-5.71994975
2012/08,5.975607303
2012/09,-26.2464386
2012/10,-6.325347328
2012/11,4.775485097
2012/12,-5.654090044
2013/01,-20.43644141
2013/02,-19.10371331
2013/03,-15.01879419
2013/04,4.088529457
2013/05,-3.169134699
2013/06,-0.640080069
2013/07,6.431037102
2013/08,-5.124751134
2013/09,5.703059799
2013/10,0.371197158
2013/11,6.707934521
2013/12,11.74454975
2014/01,13.68903111
2014/02,4.960283172
2014/03,18.52154604
2014/04,6.787702514
2014/05,7.82634602
2014/06,-8.290442107
2014/07,8.258895475
2014/08,-12.39818808
2014/09,-14.25580275
2014/10,5.767281665
2014/11,-10.41021056
2014/12,19.97399455
2015/01,25.99714838
2015/02,32.40005306
2015/03,16.21223108
2015/04,10.21018215
2015/05,13.89707629
2015/06,8.240979498
2015/07,-7.284746996
2015/08,24.9835873
2015/09,28.18883791
2015/10,-1.851180073
2015/11,-5.675385606
2015/12,-15.48023105
2016/01,12.02439675
2016/02,5.279868961
2016/03,5.753193492
2016/04,-2.415891369
2016/05,13.51755079
2016/06,36.56949057
2016/07,-4.916053
2016/08,19.25237852
2016/09,-7.683059815
2016/10,2.968986863
2016/11,7.592393038
2016/12,26.46909382
2017/01,19.33953971
2017/02,23.1944291
2017/03,20.71087493
2017/04,13.65395663
2017/05,9.44289966
2017/06,-2.549661623
2017/07,0.594680524
2017/08,-0.193634151
2017/09,4.973265793
2017/10,-6.232705691
2017/11,-6.30085507
2017/12,-9.6361884
2018/01,-11.69192218
